"","WKT","ID","NAME","NAME_EN","TYPE","point"
"1840","44.4986063509672 40.2024768103182",50064,"DIAMOND TRAVEL","","state institutions/NGO",4
"1841","44.498690972267 40.2025290914671",50065,"????","SALI","mall/shop(non-food)",14
"1842","44.4991302484409 40.2019583191037",50071,"Safari","","restaurant/cafe",6
"1843","44.4993146725687 40.2022375652287",50072,"Med express","","healthcare",10
"1844","44.4995961147472 40.2018547850516",50073,"ConversBank","","bank/atm",10
"1845","44.4990821885732 40.2025848717036",50078,"???????","","supermarket/shop(food)",10
"1846","44.4991916033748 40.2025681993868",50079,"","","healthcare",10
"1847","44.4991121024721 40.2026492967904",50080,"24/7","","supermarket/shop(food)",10
"1848","44.4991908847226 40.2028497757424",50083,"","","bus_stop",4
"1849","44.4993116182968 40.2027850764055",50084,"","Burmunq","mall/shop(non-food)",14
"1850","44.4981376100519 40.2032521726711",50086,"""Alfa Pharm""","","healthcare",10
"1851","44.4983325444686 40.2037467780023",50087,"????????? ?????????????? ?????","School of Oriental Martial Arts","School/kindergarten",7
"1852","44.4988664132419 40.2031712818179",50089,"?????????","UniBank","bank/atm",10
"1853","44.5008335440511 40.1994224097527",50096,"ACBA-Credit Agricole Bank","","bank/atm",10
"1854","44.5004373870108 40.2001532773391",50099,"Tonratun","","restaurant/cafe",6
"1855","44.5013199817775 40.1996814940193",50103,"","Viking","restaurant/cafe",6
"1856","44.5004946096944 40.2006704787247",50108,"HSBC","","bank/atm",10
"1857","44.5014527527764 40.2010320645083",50115,"","","supermarket/shop(food)",10
"1858","44.5011601714884 40.2013397882721",50116,"???? ????","Link Avia","state institutions/NGO",4
"1859","44.501628463246 40.2010873656935",50118,"""Karas""","","restaurant/cafe",6
"1860","44.5029475494092 40.1998896664124",50122,"?????? ????????? ????? ??? 148 ???? ?????","School No 148 AFT. Mushegh Galshoyan","School/kindergarten",7
"1861","44.5016210970607 40.2017651103008",50127,"11-?? ???????????","Polyclinic number 11","healthcare",10
"1862","44.5004544550012 40.2032726869603",50128,"Beeline","","mall/shop(non-food)",14
"1863","44.5005902802722 40.2033294957289",50129,"","","healthcare",10
"1864","44.5013455837631 40.2035701091521",50130,"????????? ??????","Antarayin Dzayner","restaurant/cafe",6
"1865","44.501184246338 40.2041242646201",50131,"HayPost 0012","","post_office",3
"1866","44.5015111432699 40.2031166684307",50132,"ELITEDENT","","healthcare",10
"1867","44.5018100127649 40.2038201897774",50133,"Ardshinbank Komitas","Ardshinbank Komitas br.","bank/atm",10
"1868","44.5015890272051 40.2041003201479",50134,"","","bus_stop",4
"1869","44.5018715473619 40.2039198101153",50135,"","","bank/atm",10
"1870","44.5019353277471 40.2043597981897",50141,"","","mall/shop(non-food)",14
"1871","44.5023134286502 40.2038379595316",50145,"???????? ??????????","Pharmacy Minimarket","healthcare",10
"1872","44.5027023093367 40.203890582676",50148,"Yerevan Deluxe Restaurant","","restaurant/cafe",6
"1873","44.5025287548238 40.2041615191833",50151,"","","beauty_salon",4
"1874","44.5035083676411 40.2018823667032",50153,"""Royal"" Cafe","","restaurant/cafe",6
"1875","44.5031033172795 40.2020842201403",50154,"King Shaurma","","restaurant/cafe",6
"1876","44.5036746458002 40.2018823667032",50155,"","","mall/shop(non-food)",14
"1877","44.5029780022974 40.2043729024219",50167,"","","bus_stop",4
"1878","44.4972568119159 40.2052687868061",50171,"""????????"" ??????????? ???????","""Madatyan"" Psychological Center","healthcare",10
"1879","44.4993974074064 40.2081337123852",50181,"","","bookmaker",1
