"","TYPE","point","lon","lat"
"1168","restaurant/cafe",6,44.5104977995407,40.1788278766773
"1169","mall/shop(non-food)",14,44.5110569109736,40.1788869708577
"1170","restaurant/cafe",6,44.5097795066395,40.1792871077987
"1171","mall/shop(non-food)",14,44.509741507903,40.1793361124008
"1172","restaurant/cafe",6,44.5101143985775,40.1794858027099
"1173","restaurant/cafe",6,44.5102270473141,40.1795569072069
"1174","bank/atm",10,44.5104017696369,40.17942451277
"1175","mall/shop(non-food)",14,44.5106290434037,40.1791289750598
"1176","restaurant/cafe",6,44.510718515606,40.1790733814312
"1177","state institutions/NGO",4,44.5107364819117,40.179148398502
"1178","cinema/theatre/museum",6,44.5057889206529,40.1799481178748
"1179","pub/bar",4,44.5058313211343,40.1800473614856
"1180","mall/shop(non-food)",14,44.5059823279336,40.1798411185496
"1181","mall/shop(non-food)",14,44.506320363975,40.1801129747474
"1182","mall/shop(non-food)",14,44.506423221075,40.1801958834645
"1183","mall/shop(non-food)",14,44.5064850251666,40.1802488681213
"1184","beauty_salon",4,44.5057107672232,40.1808540021289
"1185","mall/shop(non-food)",14,44.5082662945434,40.1803866829418
"1186","mall/shop(non-food)",14,44.5083087848564,40.1803577198902
"1187","mall/shop(non-food)",14,44.5073819031462,40.1809638824103
"1188","supermarket/shop(food)",10,44.5079142447836,40.180600816968
"1189","supermarket/shop(food)",10,44.5078099503791,40.1806485852354
"1190","mall/shop(non-food)",14,44.5081134012821,40.1804766604947
"1191","mall/shop(non-food)",14,44.5080476446033,40.1805440577903
"1192","bus_stop",4,44.5081036096455,40.1810708113327
"1193","restaurant/cafe",6,44.5081612814867,40.1810481627304
"1194","restaurant/cafe",6,44.5059761295581,40.1820166925749
"1195","post_office",3,44.505714809642,40.1821879957342
"1196","bank/atm",10,44.5061265075367,40.1823030898015
"1197","university",6,44.5060402692694,40.1823658870188
"1198","mall/shop(non-food)",14,44.5076733166244,40.181191878279
"1199","School/kindergarten",7,44.5076534638566,40.1812410187693
"1200","restaurant/cafe",6,44.5074820653004,40.1812981891552
"1201","bank/atm",10,44.5071160018221,40.1815246053724
"1202","pub/bar",4,44.5083147137372,40.1817432654821
