"","TYPE","point","lon","lat","cell"
"1408","supermarket/shop(food)",10,44.4980096899555,40.1970180111323,11
"1409","supermarket/shop(food)",10,44.4978139470551,40.198609677392,11
"1410","bank/atm",10,44.498071494047,40.1986854962302,11
"1411","supermarket/shop(food)",10,44.5001665449526,40.1937697899667,11
"1412","restaurant/cafe",6,44.5039576151147,40.1936532743476,12
"1413","healthcare",10,44.5012049075896,40.1988724013119,11
"1414","healthcare",10,44.5022085952565,40.1980871769389,11
"1415","restaurant/cafe",6,44.507539287984,40.1885458783007,12
"1416","supermarket/shop(food)",10,44.5074421801018,40.1891818876915,12
"1417","restaurant/cafe",6,44.5065293121101,40.1909814572647,12
"1418","bank/atm",10,44.5057714933364,40.1918607064099,12
"1419","bank/atm",10,44.5089087696346,40.1918528149713,12
"1420","beauty_salon",4,44.5128345870893,40.188116767603,12
"1421","restaurant/cafe",6,44.5130651846227,40.1881652854527,12
"1422","restaurant/cafe",6,44.5136843035166,40.1881519035881,12
"1423","pub/bar",4,44.5131132444904,40.1890482768048,12
"1424","bank/atm",10,44.5131914877517,40.1892186700979,12
"1425","bank/atm",10,44.5141334611586,40.1881053072289,12
"1426","bank/atm",10,44.5141295984029,40.1881097678538,12
"1427","bank/atm",10,44.514125196658,40.1881145716033,12
"1428","supermarket/shop(food)",10,44.514281593349,40.1886064051309,12
"1429","bank/atm",10,44.5143879538786,40.1885189088453,12
"1430","bank/atm",10,44.5144480511711,40.1885211734565,12
"1431","bank/atm",10,44.5145706712074,40.1882488705778,12
"1432","mall/shop(non-food)",14,44.5149048444931,40.1886528638971,12
"1433","bank/atm",10,44.5150239610998,40.1886316589398,12
"1434","bank/atm",10,44.5151533185007,40.1885589855894,12
"1435","healthcare",10,44.514147474877,40.1887415952482,12
"1436","healthcare",10,44.5140987861886,40.1888295716164,12
"1437","restaurant/cafe",6,44.5140074275242,40.1889084208541,12
"1438","bank/atm",10,44.5139829933485,40.1889384096176,12
"1439","supermarket/shop(food)",10,44.5138572292087,40.1893294975638,12
"1440","restaurant/cafe",6,44.5149974607989,40.1887265665125,12
"1441","restaurant/cafe",6,44.5150075219301,40.1889052641414,12
"1442","restaurant/cafe",6,44.5150075219301,40.1889052641414,12
"1443","restaurant/cafe",6,44.5150129118218,40.1889852112769,12
"1444","restaurant/cafe",6,44.5146022919054,40.1892579915663,12
"1445","restaurant/cafe",6,44.5147403629646,40.189288391918,12
"1446","restaurant/cafe",6,44.5150182118819,40.1890896570921,12
"1447","pub/bar",4,44.5150209966593,40.1891564968396,12
