"X","TYPE","lon","lat","cell"
3002,"Restaurants, cafe, fast-food",44.5105899666889,40.1843556021925,"3,7"
3028,"Restaurants, cafe, fast-food",44.5104697721039,40.1853163985042,"3,7"
3033,"Restaurants, cafe, fast-food",44.5100060617542,40.186605697143,"3,7"
3034,"Restaurants, cafe, fast-food",44.5084936581419,40.1867800769001,"3,7"
3035,"Restaurants, cafe, fast-food",44.5087001808257,40.1869119765996,"3,7"
3036,"Restaurants, cafe, fast-food",44.508811751584,40.1869935731115,"3,7"
3037,"Restaurants, cafe, fast-food",44.5088787659042,40.1870326213655,"3,7"
3040,"Restaurants, cafe, fast-food",44.5110242122972,40.186814390062,"3,7"
3044,"Restaurants, cafe, fast-food",44.5101184409962,40.1873579082316,"3,7"
3068,"Restaurants, cafe, fast-food",44.5127294842011,40.1830062094249,"3,7"
3093,"Restaurants, cafe, fast-food",44.5144774260809,40.1829843850308,"3,7"
3121,"Restaurants, cafe, fast-food",44.5161418246393,40.1831147136196,"3,7"
3133,"Restaurants, cafe, fast-food",44.5160364522565,40.1831834122642,"3,7"
3149,"Restaurants, cafe, fast-food",44.5147110778863,40.1842134031823,"3,7"
3164,"Restaurants, cafe, fast-food",44.516600773918,40.1849906900792,"3,7"
3167,"Restaurants, cafe, fast-food",44.5114128234891,40.1856843798875,"3,7"
3178,"Restaurants, cafe, fast-food",44.5119645687366,40.1865645898465,"3,7"
3196,"Restaurants, cafe, fast-food",44.5126895990024,40.1864736595946,"3,7"
3204,"Restaurants, cafe, fast-food",44.5117032488205,40.1867008134297,"3,7"
3206,"Restaurants, cafe, fast-food",44.5121619286046,40.1869506131435,"3,7"
3211,"Restaurants, cafe, fast-food",44.5133785169938,40.1866240890472,"3,7"
3212,"Restaurants, cafe, fast-food",44.5136083060435,40.1868949572979,"3,7"
3215,"Restaurants, cafe, fast-food",44.5134813740939,40.1873185170359,"3,7"
3216,"Restaurants, cafe, fast-food",44.513672984744,40.1877770044324,"3,7"
3231,"Restaurants, cafe, fast-food",44.5165001626061,40.1861638095569,"3,7"
3232,"Restaurants, cafe, fast-food",44.5165288188637,40.1861829564773,"3,7"
3233,"Restaurants, cafe, fast-food",44.5165908924499,40.1862323678599,"3,7"
3299,"Restaurants, cafe, fast-food",44.4808503408928,40.1902889882152,"2,3"
