"","TYPE","point","lon","lat","cell","districtName"
"237","bus_stop",4,44.4650921840103,40.1907194576174,6,"Malatia-Sebastia"
"239","bus_stop",4,44.4643877251645,40.1909028849256,13,"Ajapnyak"
"240","bank/atm",10,44.4663089520626,40.1911303670374,13,"Ajapnyak"
"241","restaurant/cafe",6,44.468610345989,40.1909290985895,6,"Malatia-Sebastia"
"242","restaurant/cafe",6,44.4718646727688,40.1910767046593,6,"Malatia-Sebastia"
"244","supermarket/shop(food)",10,44.4719476771011,40.1934066558223,13,"Ajapnyak"
"245","School/kindergarten",7,44.4681973904529,40.1955475546884,13,"Ajapnyak"
"246","School/kindergarten",7,44.4712207603732,40.1936718015796,13,"Ajapnyak"
"248","mall/shop(non-food)",14,44.4609381944735,40.2034621179466,13,"Ajapnyak"
"249","bank/atm",10,44.4559039457897,40.2081853031246,13,"Ajapnyak"
"251","restaurant/cafe",6,44.4639268894238,40.2000356748816,13,"Ajapnyak"
"252","supermarket/shop(food)",10,44.4620918109614,40.2040413165413,13,"Ajapnyak"
"253","School/kindergarten",7,44.4646386246234,40.2034711057854,13,"Ajapnyak"
"255","healthcare",10,44.4689614076021,40.2034803680607,13,"Ajapnyak"
"256","healthcare",10,44.4688591793227,40.2037915797773,13,"Ajapnyak"
"258","bank/atm",10,44.4622134428508,40.2068647873705,13,"Ajapnyak"
"259","bank/atm",10,44.4633808035625,40.2066097783253,13,"Ajapnyak"
"260","bank/atm",10,44.4624088264251,40.2077624225546,13,"Ajapnyak"
"261","supermarket/shop(food)",10,44.4617845871342,40.2093554144559,13,"Ajapnyak"
"262","School/kindergarten",7,44.4658660826276,40.2075286845467,13,"Ajapnyak"
"263","bank/atm",10,44.4666314472496,40.2091981750602,13,"Ajapnyak"
"264","supermarket/shop(food)",10,44.4677218223415,40.2055690131407,13,"Ajapnyak"
"265","School/kindergarten",7,44.4696942532109,40.2070820622784,13,"Ajapnyak"
"267","School/kindergarten",7,44.4714296186767,40.2052150670086,13,"Ajapnyak"
"268","healthcare",10,44.4678143488158,40.2081542938019,13,"Ajapnyak"
"269","supermarket/shop(food)",10,44.4685511470118,40.2078662220043,13,"Ajapnyak"
"271","supermarket/shop(food)",10,44.4686488837147,40.2087132826897,13,"Ajapnyak"
"272","bank/atm",10,44.4688919678306,40.2091760160759,13,"Ajapnyak"
"273","bus_stop",4,44.46906237824,40.2093672142562,13,"Ajapnyak"
"274","bus_stop",4,44.4691156483363,40.2093926661441,13,"Ajapnyak"
"275","healthcare",10,44.4701726060996,40.2086337704377,13,"Ajapnyak"
"276","supermarket/shop(food)",10,44.4360832478663,40.2111482059107,13,"Ajapnyak"
"277","School/kindergarten",7,44.434907622654,40.2123791147044,13,"Ajapnyak"
"278","supermarket/shop(food)",10,44.4365540549068,40.2136397731834,13,"Ajapnyak"
"279","restaurant/cafe",6,44.4395345751879,40.2165379570959,13,"Ajapnyak"
"280","supermarket/shop(food)",10,44.4398307497371,40.2107971015952,13,"Ajapnyak"
"281","supermarket/shop(food)",10,44.4622617722131,40.2122775173831,13,"Ajapnyak"
"284","bank/atm",10,44.4401706722406,40.2331347014833,13,"Ajapnyak"
"286","place_of_worship",3,44.4732618225302,40.1174170199554,8,"Shengavit"
"287","place_of_worship",3,44.4738300967789,40.1175849139112,8,"Shengavit"
"288","School/kindergarten",7,44.4733176977409,40.119614790476,8,"Shengavit"
"290","School/kindergarten",7,44.4752139514741,40.1201563050584,8,"Shengavit"
"291","School/kindergarten",7,44.474049914529,40.1210340674732,8,"Shengavit"
"293","restaurant/cafe",6,44.5428436176391,40.1159903854796,11,"Erebuni"
"294","restaurant/cafe",6,44.4801324971493,40.1311431803832,8,"Shengavit"
"295","supermarket/shop(food)",10,44.4858825234514,40.1330359090395,8,"Shengavit"
"296","supermarket/shop(food)",10,44.4808752242262,40.1406207865555,8,"Shengavit"
"297","supermarket/shop(food)",10,44.4809261587028,40.1389844948372,8,"Shengavit"
"298","supermarket/shop(food)",10,44.4819695519053,40.1391463608474,8,"Shengavit"
"299","supermarket/shop(food)",10,44.4836086179727,40.1389209707355,8,"Shengavit"
"300","supermarket/shop(food)",10,44.4817138913754,40.1425762912923,8,"Shengavit"
"301","supermarket/shop(food)",10,44.4816062732044,40.1429250706198,8,"Shengavit"
"302","supermarket/shop(food)",10,44.4815321621935,40.1436556541576,8,"Shengavit"
"303","supermarket/shop(food)",10,44.4840116920407,40.1349674571582,8,"Shengavit"
"304","supermarket/shop(food)",10,44.4840116920407,40.1349674571582,8,"Shengavit"
"305","supermarket/shop(food)",10,44.4873787573886,40.1340299173155,8,"Shengavit"
"306","supermarket/shop(food)",10,44.4836619779006,40.1379536801841,8,"Shengavit"
"307","School/kindergarten",7,44.4889707517351,40.1364364106881,8,"Shengavit"
"308","mall/shop(non-food)",14,44.4897623471635,40.1365460194872,8,"Shengavit"
"311","supermarket/shop(food)",10,44.4842408522697,40.1422012776964,8,"Shengavit"
"312","mall/shop(non-food)",14,44.484271844147,40.1423696598124,8,"Shengavit"
"313","supermarket/shop(food)",10,44.4862646667733,40.1420204656039,8,"Shengavit"
"315","School/kindergarten",7,44.4849218650866,40.1427893772017,8,"Shengavit"
"316","School/kindergarten",7,44.4837800165289,40.1433896949165,8,"Shengavit"
"317","supermarket/shop(food)",10,44.4865603023333,40.1437951913549,8,"Shengavit"
"318","supermarket/shop(food)",10,44.4872293675569,40.1439472948138,8,"Shengavit"
"319","supermarket/shop(food)",10,44.4880245562464,40.1430392698805,8,"Shengavit"
"320","supermarket/shop(food)",10,44.4880877078108,40.1435306060616,8,"Shengavit"
"321","supermarket/shop(food)",10,44.4880877078108,40.1435306060616,8,"Shengavit"
"322","supermarket/shop(food)",10,44.4880877078108,40.1435306060616,8,"Shengavit"
"323","supermarket/shop(food)",10,44.4880877078108,40.1435306060616,8,"Shengavit"
"325","mall/shop(non-food)",14,44.4946400194932,40.1410786967007,8,"Shengavit"
"326","bus_stop",4,44.4948371098666,40.1417935055739,8,"Shengavit"
"327","bus_stop",4,44.4949220904924,40.1418334038974,8,"Shengavit"
